MedCodeId	CleansedReadCode	Term	Type	Hypertension
8440001000006117		hypertension monitoring sms (short message service) text message second invitation	admin	hypertension
8440011000006119		hypertension monitoring sms (short message service) text message third invitation	admin	hypertension
8459521000006112		hypertension monitoring invitation email	admin	hypertension
8462401000006115		blood pressure monitoring invitation	admin	no
8462431000006111		blood pressure monitoring invitation sms (short message service) text message	admin	no
8462451000006116		blood pressure monitoring email invitation	admin	no
8462491000006110		blood pressure monitoring invitation first letter	admin	no
8462521000006112		blood pressure monitoring invitation second letter	admin	no
8462551000006115		blood pressure monitoring invitation third letter	admin	no
8462571000006113		blood pressure monitoring telephone invitation	admin	no
9897511000006110		labile systemic arterial hypertension	BP	hypertension
11903371000006115		o/e - systolic bp reading	BP	no
11924381000006114		o/e - diastolic bp reading	BP	no
12115621000006113		referral for antihypertensive therapy	referral	hypertension
12619501000006118		blood pressure measurement using oscillometric monitoring device with opportunistic atrial fibrillation detection	BP	no
12626361000006113		qof (quality and outcomes framework) hypertension quality indicator-related care invitation	admin	hypertension
12717241000006117		unspecified hypertension complicating pregnancy, childbirth and the puerperium - delivered with postnatal complication	pregnancy	hypertension
12734361000006112		qof (quality and outcomes framework) hypertension quality indicator-related care invitation using preferred method of communication	admin	hypertension
13620921000006114		recommendation to measure and record own blood pressure	seen	no
13688011000006110		multiple drug intolerant hypertension	BP	hypertension
13935961000006111		arrhythmia-detection blood pressure ambulatory recorder	admin	no
39871000006113	L122200	oth pre-exist hypert in preg/childb/puerp -del with p/n comp	pregnancy	hypertension
404471000006113	U60C500	[x]oth antihyperten drug caus advers eff in therap use, nec	therapy	hypertension
