prodcode	dmdcode	gemscriptcode	productname	drugsubstance	strength	formulation	route	bnfcode	bnfchapter	Group
10902	152515001000027104	68129020	Captopril 50mg with Hydrochlorothiazide 25mg tablets	Captopril/Hydrochlorothiazide	50mg + 25mg	Tablets	Oral	02020100/02050501	Thiazides And Related Diuretics/Angiotensin-converting Enzyme Inhibitors	Diuretic
11133	159305001000027104	69268020	Hydrochlorothiazide with captopril 25mg with 50mg Tablet	Captopril/Hydrochlorothiazide	25mg + 50mg	Tablet	Oral	02020100/02050501	Thiazides And Related Diuretics/Angiotensin-converting Enzyme Inhibitors	Diuretic
11156	40795001000027104	53134020	Spirolone 25mg Tablet (Berk Pharmaceuticals Ltd)	Spironolactone	25mg	Tablet	Oral	02020300	Potassium-sparing Diuretics And Aldosterone Antagonists	Spironolactone
11265	318101005	67213020	Triamterene 50mg / Furosemide 40mg tablets	Triamterene/Furosemide	50mg + 40mg	Tablet	Oral	02020400	Potassium-sparing Diuretics With Other Diuretics	Diuretic
11268	3699711000001107	75554020	Torem 2.5mg tablets (Meda Pharmaceuticals Ltd)	Torasemide	2.5mg	Tablet	Oral	02020200	Loop Diuretics	Diuretic
11338	148805001000027104	67627020	Bendroflumethiazide 5mg with Nadolol 40mg tablets	Nadolol/Bendroflumethiazide	5mg + 40mg	Tablets	Oral	02020100/02040000	Thiazides And Related Diuretics/Beta-adrenoceptor Blocking Drugs	B-blocker
11351	318807006	84482020	Co-zidocapt 25mg/50mg tablets	Captopril/Hydrochlorothiazide	50mg + 25mg	Tablet	Oral	02020100/02050501	Thiazides And Related Diuretics/Angiotensin-converting Enzyme Inhibitors	Diuretic
11380	446211000001108	51642020	Sotacor 160mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)	Sotalol hydrochloride	160mg	Tablet	Oral	02030200/02040000	Drugs For Arrhythmias/Beta-adrenoceptor Blocking Drugs	B-blocker
11384	318128000	73915020	Co-flumactone 50mg/50mg tablets	Spironolactone/Hydroflumethiazide	50mg + 50mg	Tablet	Oral	02020400	Potassium-sparing Diuretics With Other Diuretics	Diuretic
11394	2415001000027104	48295020	Baratol 25mg Tablet (Shire Pharmaceuticals Ltd)	Indoramin hydrochloride	25mg	Tablet	Oral	02050400/07040150	Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention)	Alpha blocker
11448	134461004	80124020	Irbesartan 150mg / Hydrochlorothiazide 12.5mg tablets	Hydrochlorothiazide/Irbesartan	12.5mg + 150mg	Tablet	Oral	02020100/02050504	Thiazides And Related Diuretics/Angiotensin-ii Receptor Antagonists With Diuretic	Diuretic
11469	134460003	80125020	Irbesartan 300mg / Hydrochlorothiazide 12.5mg tablets	Irbesartan/Hydrochlorothiazide	300mg + 12.5mg	Tablet	Oral	02020100/02050504	Thiazides And Related Diuretics/Angiotensin-ii Receptor Antagonists With Diuretic	Diuretic
11487	318040003	75559020	Torasemide 2.5mg tablets	Torasemide	2.5mg	Tablet	Oral	02020200	Loop Diuretics	Diuretic
11519	196385001000027104	75250020	Spironolactone 25mg/5ml oral suspension sugar free	Spironolactone	25mg/5ml	Suspension Sugar-free	Oral	02020300	Potassium-sparing Diuretics And Aldosterone Antagonists	Spironolactone
11526	682711000001109	83982020	CoAprovel 300mg/12.5mg tablets (Sanofi)	Irbesartan/Hydrochlorothiazide	300mg + 12.5mg	Tablet	Oral	02020100/02050504	Thiazides And Related Diuretics/Angiotensin-ii Receptor Antagonists With Diuretic	Diuretic
11561	318806002	84483020	Co-zidocapt 12.5mg/25mg tablets	Hydrochlorothiazide/Captopril	12.5mg + 25mg	Tablet	Oral	02020100/02050501	Thiazides And Related Diuretics/Angiotensin-converting Enzyme Inhibitors	Diuretic
11641	152525001000027104	68130020	Captopril 25mg with Hydrochlorothiazide 12.5mg tablets	Captopril/Hydrochlorothiazide	25mg + 12.5mg	Tablets	Oral	02020100/02050501	Thiazides And Related Diuretics/Angiotensin-converting Enzyme Inhibitors	Diuretic
11711	196395001000027104	75254020	Propranolol 50mg/5ml oral solution	Propranolol Hydrochloride	50mg/5ml	Oral Solution	Oral	02030202/02040000	Supraventricular Arrhythmias/Beta-adrenoceptor Blocking Drugs	B-blocker
11793	8669111000001108	67160020	Metoprolol 50mg/5ml oral suspension	Metoprolol tartrate	10mg/1ml	Oral suspension	Oral	02040000/04070402	Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine	B-blocker
11864	395521005	87994020	Valsartan 160mg / Hydrochlorothiazide 12.5mg tablets	Valsartan/Hydrochlorothiazide	160mg + 12.5mg	Tablet	Oral	02050504	Angiotensin-ii Receptor Antagonists With Diuretic	Diuretic
12037	3315001000027104	48400020	Betim 10mg Tablet (ICN Pharmaceuticals France S.A.)	Timolol maleate	10mg	Tablet	Oral	02040000/04070402	Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine	B-blocker
12054	318584007	69745020	Propranolol 80mg / Bendroflumethiazide 2.5mg capsules	Propranolol hydrochloride/Bendroflumethiazide	80mg + 2.5mg	Capsule	Oral	00000000	Unknown	B-blocker
12110	116195001000027104	63279020	Hydroflumethiazide 50mg Tablet	Hydroflumethiazide	50mg	Tablet	Oral	02020100	Thiazides And Related Diuretics	Diuretic
12119	132615001000027104	04397007	SOTALOL HCl S/R 80 MG TAB					00000000	Unknown	B-blocker
12296	632811000001105	52701020	Sectral 100mg capsules (Sanofi)	Acebutolol hydrochloride	100mg	Capsule	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
12360	20915001000027104	50657020	Nephril 1mg Tablet (Pfizer Ltd)	Polythiazide	1mg	Tablet	Oral	02020100	Thiazides And Related Diuretics	Diuretic
12440	4544011000001109	63260020	Hydrosaluric 25mg tablets (Merck Sharp & Dohme Ltd)	Hydrochlorothiazide	25mg	Tablet	Oral	00000000	Unknown	Diuretic
12456	29205001000027104	51646020	Sotazide Tablet (Bristol-Myers Squibb Pharmaceuticals Ltd)	Sotalol Hydrochloride/Hydrochlorothiazide		Tablet	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
12495	54385001000027104	54821020	Berkolol 10mg Tablet (Berk Pharmaceuticals Ltd)	Propranolol hydrochloride	10mg	Tablet	Oral	02030202/02040000	Supraventricular Arrhythmias/Beta-adrenoceptor Blocking Drugs	B-blocker
12497	166645001000027104	05741007	OXPRENOLOL 10 MG TAB					00000000	Unknown	B-blocker
12517	144255001000027104	67082020	Timolol maleate with bendroflumethiazide 20mg + 5mg Tablet	Timolol Maleate/Bendroflumethiazide	20mg + 5mg	Tablet	Oral	02020100/02040000	Thiazides And Related Diuretics/Beta-adrenoceptor Blocking Drugs	B-blocker
12546	40975001000027104	53154020	Kalspare Tablet (Dominion Pharma)	Chlortalidone/Triamterene	50mg + 50mg	Tablet	Oral	02020100/02020400	Thiazides And Related Diuretics/Potassium-sparing Diuretics With Other Diuretics	Diuretic
12547	318100006	67219020	Triamterene 50mg / Chlortalidone 50mg tablets	Chlortalidone/Triamterene	50mg + 50mg	Tablet	Oral	02020400	Potassium-sparing Diuretics With Other Diuretics	Diuretic
12651	318556002	67081020	Timolol 10mg / Bendroflumethiazide 2.5mg tablets	Timolol maleate/Bendroflumethiazide	10mg + 2.5mg	Tablet	Oral	02040100	Beta-adrenoceptor Blocking Drugs With Diuretic	B-blocker
12926	317967009	65972020	Polythiazide 1mg tablets	Polythiazide	1mg	Tablet	Oral	00000000	Unknown	Diuretic
12946	196375001000027104	75249020	Spironolactone 10mg/5ml oral suspension sugar free	Spironolactone	10mg/5ml	Suspension Sugar-free	Oral	02020300	Potassium-sparing Diuretics And Aldosterone Antagonists	Spironolactone
13051	318527002	66686020	Sotalol 200mg tablets	Sotalol hydrochloride	200mg	Tablet	Oral	02030200/02040000	Drugs For Arrhythmias/Beta-adrenoceptor Blocking Drugs	B-blocker
13246	8358511000001105	90731020	Chlorothiazide 150mg/5ml oral suspension	Chlorothiazide	30mg/1ml	Oral suspension	Oral	02020100	Thiazides And Related Diuretics	Diuretic
13264	8727011000001103	90717020	Spironolactone 15mg/5ml oral suspension	Spironolactone	3mg/1ml	Oral suspension	Oral	02020300	Potassium-sparing Diuretics And Aldosterone Antagonists	Spironolactone
13363	10555001000027106	49322020	Esidrex 50mg Tablet (Novartis Pharmaceuticals UK Ltd)	Hydrochlorothiazide	50mg	Tablet	Oral	02020100	Thiazides And Related Diuretics	Diuretic
13394	373311000001100	51861020	Tenormin 25mg/5ml syrup (AstraZeneca UK Ltd)	Atenolol	5mg/1ml	Oral solution	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
13415	3686511000001108	54538020	Corgard 40mg tablets (Sanofi-Synthelabo Ltd)	Nadolol	40mg	Tablet	Oral	00000000	Unknown	B-blocker
13435	82611000001106	53109020	Frumil Forte 10mg/80mg tablets (Sanofi)	Amiloride hydrochloride/Furosemide	10mg + 80mg	Tablet	Oral	02020400	Potassium-sparing Diuretics With Other Diuretics	Diuretic
13487	447111000001104	54831020	Beta-Cardone 200mg tablets (Focus Pharmaceuticals Ltd)	Sotalol hydrochloride	200mg	Tablet	Oral	02030200/02040000	Drugs For Arrhythmias/Beta-adrenoceptor Blocking Drugs	B-blocker
13499	17745001000027100	50247020	Lopresor 100mg Tablet (Novartis Pharmaceuticals UK Ltd)	Metoprolol tartrate	100mg	Tablet	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
13525	80235001000027104	58231020	Hydrenox 50mg Tablet (Knoll Ltd)	Hydroflumethiazide	50mg	Tablet	Oral	02020100	Thiazides And Related Diuretics	Diuretic
13526	101411000001108	63763020	Atenix Co 100 tablets (Ashbourne Pharmaceuticals Ltd)	Atenolol/Chlortalidone	100mg + 25mg	Tablet	Oral	02020100/02040000	Thiazides And Related Diuretics/Beta-adrenoceptor Blocking Drugs	B-blocker
13610	570011000001106	51809020	Alphavase 2 tablets (Ashbourne Pharmaceuticals Ltd)	Prazosin hydrochloride	2mg	Tablet	Oral	02050400/07040150	Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention)	Alpha blocker
13871	36091611000001104	73921020	Co-prenozide 160mg/0.25mg modified-release tablets	Oxprenolol hydrochloride/Cyclopenthiazide	160mg + 250microgram	Modified-release tablet	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
14030	628711000001102	83183020	Cardicor 2.5mg tablets (Merck Serono Ltd)	Bisoprolol fumarate	2.5mg	Tablet	Oral	02040000/02050000	Beta-adrenoceptor Blocking Drugs/Hypertension And Heart Failure	B-blocker
14057	318552000	65806020	Pindolol 10mg / Clopamide 5mg tablets	Clopamide/Pindolol	5mg + 10mg	Tablet	Oral	02040100	Beta-adrenoceptor Blocking Drugs With Diuretic	B-blocker
14058	712511000001106	83182020	Cardicor 1.25mg tablets (Merck Serono Ltd)	Bisoprolol fumarate	1.25mg	Tablet	Oral	02040000/02050000	Beta-adrenoceptor Blocking Drugs/Hypertension And Heart Failure	B-blocker
14109	196555001000027104	75281020	Spironolactone 100mg/5ml oral solution sugar free	Spironolactone	100mg/5ml	Suspension Sugar-free	Oral	02020300	Potassium-sparing Diuretics And Aldosterone Antagonists	Spironolactone
14117	873111000001104	72243020	Eucardic 3.125mg tablets (Roche Products Ltd)	Carvedilol	3.125mg	Tablet	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
14126	318586009	59935020	Acebutolol 200mg / Hydrochlorothiazide 12.5mg tablets	Acebutolol hydrochloride/Hydrochlorothiazide	200mg + 12.5mg	Tablet	Oral	00000000	Unknown	B-blocker
14146	690511000001101	83760020	Eucardic 6.25mg tablets (Roche Products Ltd)	Carvedilol	6.25mg	Tablet	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
14228	562511000001109	84712020	Coversyl Plus tablets (Servier Laboratories Ltd)	Perindopril erbumine/Indapamide	4mg + 1.25mg	Tablet	Oral	00000000	Unknown	Diuretic
14283	409298002	88002020	Valsartan 160mg / Hydrochlorothiazide 25mg tablets	Valsartan/Hydrochlorothiazide	160mg + 25mg	Tablet	Oral	02050504	Angiotensin-ii Receptor Antagonists With Diuretic	Diuretic
14438	4057911000001102	54543020	Corgaretic 80mg tablets (Sanofi-Synthelabo Ltd)	Nadolol/Bendroflumethiazide	80mg + 5mg	Tablet	Oral	00000000	Unknown	B-blocker
14552	121555001000027104	64049020	Propanix 10mg Tablet (Ashbourne Pharmaceuticals Ltd)	Propranolol hydrochloride	10mg	Tablet	Oral	02030202/02040000	Supraventricular Arrhythmias/Beta-adrenoceptor Blocking Drugs	B-blocker
14673	318513007	65803020	Pindolol 15mg tablets	Pindolol	15mg	Tablet	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
14738	209115001000027104	79035020	Hydrochlorothiazide with losartan 12.5mg with 50mg Tablet	Losartan Potassium/Hydrochlorothiazide	12.5mg + 50mg	Tablet	Oral	02020100/02050502	Thiazides And Related Diuretics/Angiotensin-ii Receptor Antagonists	Diuretic
14761	99311000001108	59523020	Frusid 40mg tablets (Dr Reddy's Laboratories (UK) Ltd)	Furosemide	40mg	Tablet	Oral	02020200	Loop Diuretics	Diuretic
14808	573711000001104	55786020	Bedranol SR 80mg capsules (Sandoz Ltd)	Propranolol hydrochloride	80mg	Modified-release capsule	Oral	02040000/04070402/04090300/06020200	Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Drugs	B-blocker
14837	855611000001109	83766020	Frusol 50mg/5ml oral solution (Rosemont Pharmaceuticals Ltd)	Furosemide	10mg/1ml	Oral solution	Oral	02020200	Loop Diuretics	Diuretic
14870	407855002	81237020	Telmisartan 40mg / Hydrochlorothiazide 12.5mg tablets	Telmisartan/Hydrochlorothiazide	40mg + 12.5mg	Tablet	Oral	02050504	Angiotensin-ii Receptor Antagonists With Diuretic	Diuretic
15031	260211000001104	74293020	Accuretic 12.5mg/10mg tablets (Pfizer Ltd)	Hydrochlorothiazide/Quinapril hydrochloride	12.5mg + 10mg	Tablet	Oral	02050501	Angiotensin-converting Enzyme Inhibitors	Diuretic
15042	141405001000027104	66704020	Tolerzide Tablet (Bristol-Myers Squibb Pharmaceuticals Ltd)	Sotalol Hydrochloride/Hydrochlorothiazide		Tablet	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
15052	84995001000027104	58740020	Spiroctan 50mg Tablet (Roche Products Ltd)	Spironolactone	50mg	Tablet	Oral	02020300	Potassium-sparing Diuretics And Aldosterone Antagonists	Spironolactone
15053	96925001000027104	03137007	SPIRONOLACTONE 10 MG/5ML LIQ					00000000	Unknown	Spironolactone
15108	318892006	74296020	Quinapril 10mg / Hydrochlorothiazide 12.5mg tablets	Hydrochlorothiazide/Quinapril hydrochloride	12.5mg + 10mg	Tablet	Oral	02050501	Angiotensin-converting Enzyme Inhibitors	Diuretic
15117	156825001000027104	68850020	Nifedipine with atenolol 20mg + 50mg Capsule	Nifedipine/Atenolol	20mg + 50mg	Capsule	Oral	02040000/02060200	Beta-adrenoceptor Blocking Drugs/Calcium-channel Blockers	B-blocker
15127	116085001000027104	63257020	Hydrochlorothiazide with triamterene 25mgwith50mg Tablet	Triamterene/Hydrochlorothiazide	25mg+50mg	Tablet	Oral	02020100/02020400	Thiazides And Related Diuretics/Potassium-sparing Diuretics With Other Diuretics	Diuretic
15135	159315001000027104	69269020	Hydrochlorothiazide with captopril 12.5mg with 25mg Tablet	Captopril/Hydrochlorothiazide	12.5mg + 25mg	Tablet	Oral	02020100/02050501	Thiazides And Related Diuretics/Angiotensin-converting Enzyme Inhibitors	Diuretic
15176	182175001000027104	72691020	Totamol 50mg Tablet (C P Pharmaceuticals Ltd)	Atenolol	50mg	Tablet	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
15488	157605001000027104	68972020	Metoprolol tartrate with chlortalidone Tablet	Metoprolol Tartrate/Chlortalidone		Tablet	Oral	02020100/02040000	Thiazides And Related Diuretics/Beta-adrenoceptor Blocking Drugs	B-blocker
15493	139855001000027104	66489020	Reserpine with hydrochlorothiazide tablet	Reserpine/Hydrochlorothiazide		Tablets	Oral	02050200	Centrally Acting Antihypertensive Drugs	Diuretic
15577	168715001000027104	05814007	HYDROCHLOROTHIAZIDE 12.5MG/K 8.1MMOL S/R 12.5 MG TAB					00000000	Unknown	Diuretic
15619	72255001000027104	57243020	Half-betadur cr 80mg Capsule (Monmouth Pharmaceuticals Ltd)	Propranolol hydrochloride	80mg	Modified-release capsule	Oral	02040000/04070402	Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine	B-blocker
15730	182185001000027104	72692020	Totamol 100mg Tablet (C P Pharmaceuticals Ltd)	Atenolol	100mg	Tablet	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
15811	318127005	73914020	Co-flumactone 25mg/25mg tablets	Spironolactone/Hydroflumethiazide	25mg + 25mg	Tablet	Oral	02020400	Potassium-sparing Diuretics With Other Diuretics	Diuretic
15874	159435001000027104	69286020	Amiloride 2.5mg / furosemide 20mg tablets	Furosemide/Amiloride Hydrochloride	2.5mg + 20mg	Tablets	Oral	02020200/02020400	Loop Diuretics/Potassium-sparing Diuretics With Other Diuretics	Diuretic
16060	377488008	88420020	Valsartan 80mg / Hydrochlorothiazide 12.5mg tablets	Valsartan/Hydrochlorothiazide	80mg + 12.5mg	Tablet	Oral	02050504	Angiotensin-ii Receptor Antagonists With Diuretic	Diuretic
16161	407856001	58831020	Telmisartan 80mg / Hydrochlorothiazide 12.5mg tablets	Telmisartan/Hydrochlorothiazide	80mg + 12.5mg	Tablet	Oral	02050504	Angiotensin-ii Receptor Antagonists With Diuretic	Diuretic
16198	2425001000027108	48296020	Baratol 50mg Tablet (Shire Pharmaceuticals Ltd)	Indoramin Hydrochloride	50mg	Tablet	Oral	02050400/07040150	Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention)	Alpha blocker
16201	28545001000027104	51572020	Hytrin bph 2mg Tablet (Amdipharm Plc)	Terazosin hydrochloride	2mg	Tablet	Oral	02050400/07040150	Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention)	Alpha blocker
16206	714311000001107	74377020	Froop 40mg tablets (Ashbourne Pharmaceuticals Ltd)	Furosemide	40mg	Tablet	Oral	02020200	Loop Diuretics	Diuretic
16498	3252011000001105	69032020	Kalspare tablets (DHP Healthcare Ltd)	Chlortalidone/Triamterene	50mg + 50mg	Tablet	Oral	02020400	Potassium-sparing Diuretics With Other Diuretics	Diuretic
16632	4546211000001109	63261020	Hydrosaluric 50mg tablets (Merck Sharp & Dohme Ltd)	Hydrochlorothiazide	50mg	Tablet	Oral	00000000	Unknown	Diuretic
16776	157575001000027104	68966020	Celectol 400mg Tablet (Pantheon Healthcare Ltd)	Celiprolol hydrochloride	400mg	Tablet	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
16786	101705001000027104	61276020	Chlortalidone 25mg with Atenolol 100mg tablets	Chlortalidone/Atenolol	25mg+100mg	Tablets	Oral	02020100/02040000	Thiazides And Related Diuretics/Beta-adrenoceptor Blocking Drugs	B-blocker
17082	295911000001102	79593020	Syprol 5mg/5ml oral solution (Rosemont Pharmaceuticals Ltd)	Propranolol hydrochloride	1mg/1ml	Oral solution	Oral	02040000/04070402/04090300/06020200	Beta-adrenoceptor Blocking Drugs/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Drugs	B-blocker
17149	4542911000001104	75020020	Monozide 10 tablets (Wyeth Pharmaceuticals)	Bisoprolol fumarate/Hydrochlorothiazide	10mg + 6.25mg	Tablet	Oral	00000000	Unknown	B-blocker
17252	10545001000027108	49321020	Esidrex 25mg Tablet (Novartis Pharmaceuticals UK Ltd)	Hydrochlorothiazide	25mg	Tablet	Oral	02020100	Thiazides And Related Diuretics	Diuretic
17322	482511000001101	72698020	Atenix 25 tablets (Ashbourne Pharmaceuticals Ltd)	Atenolol	25mg	Tablet	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
17462	318597009	75023020	Bisoprolol 10mg / Hydrochlorothiazide 6.25mg tablets	Bisoprolol fumarate/Hydrochlorothiazide	10mg + 6.25mg	Tablet	Oral	00000000	Unknown	B-blocker
17561	35910011000001104	67327020	Bendroflumethiazide 2.5mg / Potassium chloride 573mg (potassium 7.7mmol) modified-release tablets	Bendroflumethiazide/Potassium chloride	2.5mg + 573mg	Modified-release tablet	Oral	00000000	Unknown	Diuretic
17615	19711000001106	83190020	Cardicor 5mg tablets (Merck Serono Ltd)	Bisoprolol fumarate	5mg	Tablet	Oral	02040000/02050000	Beta-adrenoceptor Blocking Drugs/Hypertension And Heart Failure	B-blocker
17655	178305001000027104	72036020	Carace 10 Tablet (Bristol-Myers Squibb Pharmaceuticals Ltd)	Lisinopril/Hydrochlorothiazide	10mg + 12.5mg	Tablet	Oral	02020100/02050501	Thiazides And Related Diuretics/Angiotensin-converting Enzyme Inhibitors	Diuretic
17689	3806911000001105	49280020	MicardisPlus 80mg/12.5mg tablets (Boehringer Ingelheim Ltd)	Telmisartan/Hydrochlorothiazide	80mg + 12.5mg	Tablet	Oral	02050504	Angiotensin-ii Receptor Antagonists With Diuretic	Diuretic
17720	27705001000027104	51466020	Saluric 500mg Tablet (Merck Sharp & Dohme Ltd)	Chlorothiazide	500mg	Tablet	Oral	02020100	Thiazides And Related Diuretics	Diuretic
17783	75195001000027104	57624020	Spiroprop Tablet (Pharmacia Ltd)	Propranolol Hydrochloride/Spironolactone		Tablet	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
17876	112415001000027104	03667007	METOPROLOL FUMARATE 190 MG TAB					00000000	Unknown	B-blocker
17902	40815001000027104	53136020	Spirolone 100mg Tablet (Berk Pharmaceuticals Ltd)	Spironolactone	100mg	Tablet	Oral	02020300	Potassium-sparing Diuretics And Aldosterone Antagonists	Spironolactone
17950	40805001000027104	53135020	Spirolone 50mg Tablet (Berk Pharmaceuticals Ltd)	Spironolactone	50mg	Tablet	Oral	02020300	Potassium-sparing Diuretics And Aldosterone Antagonists	Spironolactone
17960	36061311000001112	62139020	Furosemide 20mg / Potassium chloride 750mg (potassium 10mmol) modified-release tablets	Potassium chloride/Furosemide	750mg + 20mg	Modified-release tablet	Oral	00000000	Unknown	Diuretic
18096	318042006	75561020	Torasemide 10mg tablets	Torasemide	10mg	Tablet	Oral	02020200	Loop Diuretics	Diuretic
18185	404511000001105	83191020	Cardicor 7.5mg tablets (Merck Serono Ltd)	Bisoprolol fumarate	7.5mg	Tablet	Oral	02040000/02050000	Beta-adrenoceptor Blocking Drugs/Hypertension And Heart Failure	B-blocker
18200	409184002	90629020	Olmesartan medoxomil 20mg / Hydrochlorothiazide 12.5mg tablets	Hydrochlorothiazide/Olmesartan medoxomil	12.5mg + 20mg	Tablet	Oral	02020100/02050502	Thiazides And Related Diuretics/Angiotensin-ii Receptor Antagonists	Diuretic
18202	3806311000001109	81233020	MicardisPlus 40mg/12.5mg tablets (Boehringer Ingelheim Ltd)	Telmisartan/Hydrochlorothiazide	40mg + 12.5mg	Tablet	Oral	02050504	Angiotensin-ii Receptor Antagonists With Diuretic	Diuretic
18263	263311000001101	59646020	Acezide 25mg/50mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)	Captopril/Hydrochlorothiazide	50mg + 25mg	Tablet	Oral	02050501	Angiotensin-converting Enzyme Inhibitors	Diuretic
18267	124815001000027104	64533020	Enduron 5mg Tablet (Abbott Laboratories Ltd)	Methyclothiazide	5mg	Tablet	Oral	02020100	Thiazides And Related Diuretics	Diuretic
18287	3853411000001104	53671020	Co-Betaloc SA tablets (Pfizer Ltd)	Metoprolol tartrate/Hydrochlorothiazide	200mg + 25mg	Modified-release tablet	Oral	00000000	Unknown	B-blocker
18332	196835001000027104	75373020	Aridil 20mg+2.5mg Tablet (C P Pharmaceuticals Ltd)	Amiloride hydrochloride/Furosemide	2.5mg + 20mg	Tablet	Oral	02020200/02020400	Loop Diuretics/Potassium-sparing Diuretics With Other Diuretics	Diuretic
18361	712211000001108	72435020	Amilmaxco 5mg/50mg tablets (Ashbourne Pharmaceuticals Ltd)	Amiloride hydrochloride/Hydrochlorothiazide	5mg + 50mg	Tablet	Oral	02020400	Potassium-sparing Diuretics With Other Diuretics	Diuretic
18414	334711000001101	72241020	Eucardic 12.5mg tablets (Roche Products Ltd)	Carvedilol	12.5mg	Tablet	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
18497	159455001000027104	69288020	Amiloride 10mg / furosemide 80mg tablets	Furosemide/Amiloride Hydrochloride	10mg + 80mg	Tablets	Oral	02020200/02020400	Loop Diuretics/Potassium-sparing Diuretics With Other Diuretics	Diuretic
18606	216735001000027104	81472020	Diltiazem and hydrochlorothiazide 150mg+12.5mg modified-release capsules	Diltiazem Hydrochloride/Hydrochlorothiazide	150mg + 12.5mg	Modified Release Capsules	Oral	02020100/02060200	Thiazides And Related Diuretics/Calcium-channel Blockers	Diuretic
18722	NA	!8504177	CARVEDILOL					00000000	Unknown	B-blocker
18726	721311000001104	63766020	Triamaxco 50mg/25mg tablets (Ashbourne Pharmaceuticals Ltd)	Hydrochlorothiazide/Triamterene	25mg + 50mg	Tablet	Oral	02020400	Potassium-sparing Diuretics With Other Diuretics	Diuretic
18733	169595001000027104	70712020	Co-amilozide 5mg with 50mg/ml oral solution	Amiloride Hydrochloride/Hydrochlorothiazide	5mg + 50mg/5ml	Oral Solution	Oral	02020100/02020400	Thiazides And Related Diuretics/Potassium-sparing Diuretics With Other Diuretics	Diuretic
18743	721411000001106	83989020	Tenben 25mg/1.25mg capsules (Galen Ltd)	Atenolol/Bendroflumethiazide	25mg + 1.25mg	Capsule	Oral	00000000	Unknown	B-blocker
18903	10270711000001104	90631020	Olmesartan medoxomil 20mg / Hydrochlorothiazide 25mg tablets	Hydrochlorothiazide/Olmesartan medoxomil	25mg + 20mg	Tablet	Oral	02020100/02050502	Thiazides And Related Diuretics/Angiotensin-ii Receptor Antagonists	Diuretic
18950	182195001000027104	72693020	Totamol 25mg Tablet (C P Pharmaceuticals Ltd)	Atenolol	25mg	Tablet	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
18973	35075001000027100	52358020	Centyl 2.5mg Tablet (Edwin Burgess Ltd)	Bendroflumethiazide	2.5mg	Tablet	Oral	02020100	Thiazides And Related Diuretics	Diuretic
19003	132525001000027104	04394007	SPIRONOLACTONE/PROPRANOLOL 50 MG TAB					00000000	Unknown	B-blocker
19055	101695001000027104	61275020	Chlortalidone 12.5mg with Atenolol 50mg tablets	Chlortalidone/Atenolol	12.5mg+50mg	Tablets	Oral	02020100/02040000	Thiazides And Related Diuretics/Beta-adrenoceptor Blocking Drugs	B-blocker
19056	60235001000027112	55562020	Furosemide 50mg/5ml sugar free Oral solution (Rosemont Pharmaceuticals Ltd)	Furosemide	10mg/1ml	Oral solution	Oral	02020200	Loop Diuretics	Diuretic
19142	148855001000027104	67631020	Bendroflumethiazide 2.5mg with Timolol maleate 10mg tablets	Timolol Maleate/Bendroflumethiazide	2.5mg + 10mg	Tablets	Oral	02020100/02040000	Thiazides And Related Diuretics/Beta-adrenoceptor Blocking Drugs	B-blocker
19172	600811000001101	57790020	Atenolol 25mg tablets (IVAX Pharmaceuticals UK Ltd)	Atenolol	25mg	Tablet	Oral	02040000	Beta-adrenoceptor Blocking Drugs	B-blocker
19178	78411000001104	62996020	Bisoprolol 10mg tablets (Ranbaxy (UK) Ltd)	Bisoprolol fumarate	10mg	Tablet	Oral	02040000/02050000	Beta-adrenoceptor Blocking Drugs/Hypertension And Heart Failure	B-blocker
