prodcode	dmdcode	gemscriptcode	productname	drugsubstance	strength	formulation	route	bnfcode	bnfchapter	Group	Name	Class
13139	9049711000001108	88895020	Adipine XL 30mg tablets (Chiesi Ltd)	Nifedipine	30mg	Modified-release tablet	Oral	02060200	Calcium-channel Blockers	Mono	Nifedipine	CCB
13240	243111000001108	87832020	Dilzem XL 120 capsules (Teva UK Ltd)	Diltiazem hydrochloride	120mg	Modified-release capsule	Oral	02060200	Calcium-channel Blockers	6 month exclusion	Diltiazem	CCB
13243	10225911000001102	90705020	Lercanidipine 20mg tablets	Lercanidipine hydrochloride	20mg	Tablet	Oral	02060200	Calcium-channel Blockers	Mono	Lercanidipine	CCB
13251	7418711000001109	78368020	Vera-Til SR 240mg tablets (Tillomed Laboratories Ltd)	Verapamil hydrochloride	240mg	Modified-release tablet	Oral	02060200	Calcium-channel Blockers	Mono	Verapamil	Verapamil
13302	682311000001105	87828020	Dilzem SR 90 capsules (Teva UK Ltd)	Diltiazem hydrochloride	90mg	Modified-release capsule	Oral	02060200	Calcium-channel Blockers	6 month exclusion	Diltiazem	CCB
13410	672311000001103	70830020	Angiozem 60mg modified-release tablets (Ashbourne Pharmaceuticals Ltd)	Diltiazem hydrochloride	60mg	Modified-release tablet	Oral	02060200	Calcium-channel Blockers	6 month exclusion	Diltiazem	CCB
13589	348111000001107	74175020	Staril 20mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)	Fosinopril sodium	20mg	Tablet	Oral	02050501	Angiotensin-converting Enzyme Inhibitors	ever exclusion	Fosinopril	ACE
13672	568911000001104	71014020	Angiopine MR 10mg tablets (Ashbourne Pharmaceuticals Ltd)	Nifedipine	10mg	Modified-release tablet	Oral	02060200	Calcium-channel Blockers	Mono	Nifedipine	CCB
13699	222575001000027104	83276020	Angiopine la 40mg Tablet (Ashbourne Pharmaceuticals Ltd)	Nifedipine	40mg	Modified-release tablet	Oral	02060200	Calcium-channel Blockers	Mono	Nifedipine	CCB
13755	206205001000027104	77942020	Enalapril 10mg wafer	Enalapril Maleate	10mg	Wafer		02050501	Angiotensin-converting Enzyme Inhibitors	ever exclusion	Enalapril	ACE
13821	924911000001106	81474020	Micardis 40mg tablets (Boehringer Ingelheim Ltd)	Telmisartan	40mg	Tablet	Oral	02050502	Angiotensin-ii Receptor Antagonists	Mono	Telmisartan	ARB
13856	7855011000001100	84570020	Verapress MR 240mg tablets (Actavis UK Ltd)	Verapamil hydrochloride	240mg	Modified-release tablet	Oral	02060200	Calcium-channel Blockers	Mono	Verapamil	Verapamil
13926	319198000	75622020	Diltiazem 360mg modified-release capsules	Diltiazem hydrochloride	360mg	Modified-release capsule	Oral	02060200	Calcium-channel Blockers	6 month exclusion	Diltiazem	CCB
13965	740811000001102	71435020	Cordilox MR 240mg tablets (Teva UK Ltd)	Verapamil hydrochloride	240mg	Modified-release tablet	Oral	02060200	Calcium-channel Blockers	Mono	Verapamil	Verapamil
14228	562511000001109	84712020	Coversyl Plus tablets (Servier Laboratories Ltd)	Perindopril erbumine/Indapamide	4mg + 1.25mg	Tablet	Oral	00000000	Unknown	Combo	Combo	Combo
14283	409298002	88002020	Valsartan 160mg / Hydrochlorothiazide 25mg tablets	Valsartan/Hydrochlorothiazide	160mg + 25mg	Tablet	Oral	02050504	Angiotensin-ii Receptor Antagonists With Diuretic	Combo	Combo	Combo
14300	10198711000001102	90707020	Zanidip 20mg tablets (Recordati Pharmaceuticals Ltd)	Lercanidipine hydrochloride	20mg	Tablet	Oral	02060200	Calcium-channel Blockers	Mono	Lercanidipine	CCB
14305	5638811000001106	87544020	Vascalpha 10mg modified-release tablets (Actavis UK Ltd)	Felodipine	10mg	Modified-release tablet	Oral	02060200	Calcium-channel Blockers	Mono	Felodipine	CCB
14387	778011000001109	68555020	Carace 5mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)	Lisinopril	5mg	Tablet	Oral	02050501	Angiotensin-converting Enzyme Inhibitors	ever exclusion	Lisinopril	ACE
14477	231111000001106	69844020	Accupro 10mg tablets (Pfizer Ltd)	Quinapril hydrochloride	10mg	Tablet	Oral	02050501	Angiotensin-converting Enzyme Inhibitors	ever exclusion	Quinapril	ACE
14478	829111000001100	69845020	Accupro 20mg tablets (Pfizer Ltd)	Quinapril hydrochloride	20mg	Tablet	Oral	02050501	Angiotensin-converting Enzyme Inhibitors	ever exclusion	Quinapril	ACE
14738	209115001000027104	79035020	Hydrochlorothiazide with losartan 12.5mg with 50mg Tablet	Losartan Potassium/Hydrochlorothiazide	12.5mg + 50mg	Tablet	Oral	02020100/02050502	Thiazides And Related Diuretics/Angiotensin-ii Receptor Antagonists	Combo	Combo	Combo
14861	627111000001104	77697020	Calchan MR 10 tablets (Ranbaxy (UK) Ltd)	Nifedipine	10mg	Modified-release tablet	Oral	02060200	Calcium-channel Blockers	Mono	Nifedipine	CCB
14870	407855002	81237020	Telmisartan 40mg / Hydrochlorothiazide 12.5mg tablets	Telmisartan/Hydrochlorothiazide	40mg + 12.5mg	Tablet	Oral	02050504	Angiotensin-ii Receptor Antagonists With Diuretic	Combo	Combo	Combo
14892	305465001000027136	82546020	Anoheal 2% Cream (S.L.A. Pharma (UK) Ltd)	Diltiazem hydrochloride	20mg/1gram	Cream	Transdermal	01070400	Management Of Anal Fissures	6 month exclusion	Diltiazem	CCB
14943	416515008	88542020	Valsartan 40mg tablets	Valsartan	40mg	Tablet	Oral	02050502	Angiotensin-ii Receptor Antagonists	Mono	Valsartan	ARB
14960	3803711000001101	83699020	Coversyl 8mg tablets (Servier Laboratories Ltd)	Perindopril erbumine	8mg	Tablet	Oral	02050501	Angiotensin-converting Enzyme Inhibitors	ever exclusion	Perindopril	ACE
14965	245811000001102	80730020	Cozaar 100mg tablets (Merck Sharp & Dohme Ltd)	Losartan potassium	100mg	Tablet	Oral	02050502	Angiotensin-ii Receptor Antagonists	Mono	Losartan	ARB
14983	4624011000001101	78194020	Olmetec 10mg tablets (Daiichi Sankyo UK Ltd)	Olmesartan medoxomil	10mg	Tablet	Oral	02050502	Angiotensin-ii Receptor Antagonists	Mono	Olmesartan	ARB
15031	260211000001104	74293020	Accuretic 12.5mg/10mg tablets (Pfizer Ltd)	Hydrochlorothiazide/Quinapril hydrochloride	12.5mg + 10mg	Tablet	Oral	02050501	Angiotensin-converting Enzyme Inhibitors	Combo	Combo	Combo
15085	82345001000027104	58452020	Innovace Titration pack (Merck Sharp & Dohme Ltd)	Enalapril Maleate		Titration Pack	Oral	02050501	Angiotensin-converting Enzyme Inhibitors	ever exclusion	Enalapril	ACE
15096	86411000001109	75604020	Accupro 40mg tablets (Pfizer Ltd)	Quinapril hydrochloride	40mg	Tablet	Oral	02050501	Angiotensin-converting Enzyme Inhibitors	ever exclusion	Quinapril	ACE
15108	318892006	74296020	Quinapril 10mg / Hydrochlorothiazide 12.5mg tablets	Hydrochlorothiazide/Quinapril hydrochloride	12.5mg + 10mg	Tablet	Oral	02050501	Angiotensin-converting Enzyme Inhibitors	Combo	Combo	Combo
15117	156825001000027104	68850020	Nifedipine with atenolol 20mg + 50mg Capsule	Nifedipine/Atenolol	20mg + 50mg	Capsule	Oral	02040000/02060200	Beta-adrenoceptor Blocking Drugs/Calcium-channel Blockers	Combo	Combo	Combo
15121	318934008	80674020	Moexipril 7.5mg tablets	Moexipril hydrochloride	7.5mg	Tablet	Oral	02050501	Angiotensin-converting Enzyme Inhibitors	ever exclusion	Moexipril	ACE
15135	159315001000027104	69269020	Hydrochlorothiazide with captopril 12.5mg with 25mg Tablet	Captopril/Hydrochlorothiazide	12.5mg + 25mg	Tablet	Oral	02020100/02050501	Thiazides And Related Diuretics/Angiotensin-converting Enzyme Inhibitors	Combo	Combo	Combo
15221	199355001000027104	75963020	Dilcardia xl 180mg Modified-release capsule (Generics (UK) Ltd)	Diltiazem Hydrochloride	180mg	Modified-release Capsule	Oral	02060200	Calcium-channel Blockers	6 month exclusion	Diltiazem	CCB
15288	467111000001105	86669020	Angitil XL 300 capsules (Ethypharm UK Ltd)	Diltiazem hydrochloride	300mg	Modified-release capsule	Oral	02060200	Calcium-channel Blockers	6 month exclusion	Diltiazem	CCB
15605	11055001000027102	49385020	Cilazapril 250micrograms tablets	Cilazapril	250micrograms	Tablets	Oral	02050501	Angiotensin-converting Enzyme Inhibitors	ever exclusion	Cilazapril	ACE
15659	151485001000027104	05075007	DILTIAZEM HCL S/R 180 CAP					00000000	Unknown	6 month exclusion	Diltiazem	CCB
15715	230875001000027104	85589020	Genalat retard 20mg Modified-release tablet (Wyeth Pharmaceuticals)	Nifedipine	20mg	Modified-release Tablet	Oral	02060200	Calcium-channel Blockers	Mono	Nifedipine	CCB
15958	219545001000027104	82305020	Captopril 2mg tablets	Captopril	2mg	Tablets	Oral	02050501	Angiotensin-converting Enzyme Inhibitors	ever exclusion	Captopril	ACE
16038	5711000001106	87830020	Dilzem SR 120 capsules (Teva UK Ltd)	Diltiazem hydrochloride	120mg	Modified-release capsule	Oral	02060200	Calcium-channel Blockers	6 month exclusion	Diltiazem	CCB
16060	377488008	88420020	Valsartan 80mg / Hydrochlorothiazide 12.5mg tablets	Valsartan/Hydrochlorothiazide	80mg + 12.5mg	Tablet	Oral	02050504	Angiotensin-ii Receptor Antagonists With Diuretic	Combo	Combo	Combo
16073	7856211000001104	86867020	Nifedipress MR 10 tablets (Teva UK Ltd)	Nifedipine	10mg	Modified-release tablet	Oral	02060200	Calcium-channel Blockers	Mono	Nifedipine	CCB
16161	407856001	58831020	Telmisartan 80mg / Hydrochlorothiazide 12.5mg tablets	Telmisartan/Hydrochlorothiazide	80mg + 12.5mg	Tablet	Oral	02050504	Angiotensin-ii Receptor Antagonists With Diuretic	Combo	Combo	Combo
16162	8278311000001107	91263020	Amlodipine 5mg/5ml oral suspension	Amlodipine	1mg/1ml	Oral suspension	Oral	02060200	Calcium-channel Blockers	Mono	Amlodipine	CCB
16196	3671311000001104	55291020	Vascace 5mg tablets (Roche Products Ltd)	Cilazapril monohydrate	5mg	Tablet	Oral	02050501	Angiotensin-converting Enzyme Inhibitors	ever exclusion	Cilazapril	ACE
16197	3672411000001101	55290020	Vascace 2.5mg tablets (Roche Products Ltd)	Cilazapril monohydrate	2.5mg	Tablet	Oral	02050501	Angiotensin-converting Enzyme Inhibitors	ever exclusion	Cilazapril	ACE
16212	3669711000001105	50589020	Vascace 1mg tablets (Roche Products Ltd)	Cilazapril monohydrate	1mg	Tablet	Oral	02050501	Angiotensin-converting Enzyme Inhibitors	ever exclusion	Cilazapril	ACE
16285	151411000001103	84005020	Teveten 400mg tablets (Abbott Healthcare Products Ltd)	Eprosartan mesilate	400mg	Tablet	Oral	02050502	Angiotensin-ii Receptor Antagonists	Mono	Eprosartan	ARB
16328	525311000001101	78409020	Verapress MR 240mg tablets (Dexcel-Pharma Ltd)	Verapamil hydrochloride	240mg	Modified-release tablet	Oral	02060200	Calcium-channel Blockers	Mono	Verapamil	Verapamil
16371	872011000001109	84006020	Teveten 600mg tablets (Mylan)	Eprosartan mesilate	600mg	Tablet	Oral	02050502	Angiotensin-ii Receptor Antagonists	Mono	Eprosartan	ARB
16677	258911000001104	48759020	Cordilox 80mg tablets (IVAX Pharmaceuticals UK Ltd)	Verapamil hydrochloride	80mg	Tablet	Oral	02060200	Calcium-channel Blockers	Mono	Verapamil	Verapamil
16701	315211000001104	68556020	Carace 10mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)	Lisinopril	10mg	Tablet	Oral	02050501	Angiotensin-converting Enzyme Inhibitors	ever exclusion	Lisinopril	ACE
16708	98645001000027104	60797020	Enalapril titration pack	Enalapril Maleate		Titration Pack	Oral	02050501	Angiotensin-converting Enzyme Inhibitors	ever exclusion	Enalapril	ACE
16710	253511000001102	71438020	Gopten 500microgram capsules (Abbott Laboratories Ltd)	Trandolapril	500microgram	Capsule	Oral	02050501	Angiotensin-converting Enzyme Inhibitors	ever exclusion	Trandolapril	ACE
16850	144811000001101	83067020	Angiozem CR 120mg tablets (Ashbourne Pharmaceuticals Ltd)	Diltiazem hydrochloride	120mg	Modified-release tablet	Oral	02060200	Calcium-channel Blockers	6 month exclusion	Diltiazem	CCB
16924	318943004	81181020	Imidapril 5mg tablets	Imidapril hydrochloride	5mg	Tablet	Oral	02050501	Angiotensin-converting Enzyme Inhibitors	ever exclusion	Imidapril	ACE
17006	3887911000001109	85824020	Triapin 5mg/5mg modified-release tablets (Sanofi)	Felodipine/Ramipril	5mg + 5mg	Modified-release tablet	Oral	02050501/02060200	Angiotensin-converting Enzyme Inhibitors/Calcium-channel Blockers	Combo	Combo	Combo
17120	318935009	80675020	Moexipril 15mg tablets	Moexipril hydrochloride	15mg	Tablet	Oral	02050501	Angiotensin-converting Enzyme Inhibitors	ever exclusion	Moexipril	ACE
17325	25911000001100	75491020	Cardilate MR 10mg tablets (Teva UK Ltd)	Nifedipine	10mg	Modified-release tablet	Oral	02060200	Calcium-channel Blockers	Mono	Nifedipine	CCB
17338	227175001000027104	84579020	Nifedotard 20 mr 20mg Modified-release tablet (Galen Ltd)	Nifedipine	20mg	Modified-release Tablet	Oral	02060200	Calcium-channel Blockers	Mono	Nifedipine	CCB
17342	234015001000027104	86339020	Nivaten retard 10mg Modified-release tablet (Actavis UK Ltd)	Nifedipine	10mg	Modified-release tablet	Oral	02060200	Calcium-channel Blockers	Mono	Nifedipine	CCB
17406	813611000001103	84734020	Zemtard 180 XL capsules (Galen Ltd)	Diltiazem hydrochloride	180mg	Modified-release capsule	Oral	02060200	Calcium-channel Blockers	6 month exclusion	Diltiazem	CCB
17425	105211000001107	84733020	Zemtard 120 XL capsules (Galen Ltd)	Diltiazem hydrochloride	120mg	Modified-release capsule	Oral	02060200	Calcium-channel Blockers	6 month exclusion	Diltiazem	CCB
17448	226035001000027104	84211020	Nifedipress mr 10mg Modified-release tablet (Sterwin Medicines)	Nifedipine	10mg	Modified-release tablet	Oral	02060200	Calcium-channel Blockers	Mono	Nifedipine	CCB
17474	318177008	78452020	Felodipine 5mg modified-release / Ramipril 5mg tablets	Felodipine/Ramipril	5mg + 5mg	Modified-release tablet	Oral	02050501/02060200	Angiotensin-converting Enzyme Inhibitors/Calcium-channel Blockers	Combo	Combo	Combo
17492	866811000001107	84732020	Zemtard 300 XL capsules (Galen Ltd)	Diltiazem hydrochloride	300mg	Modified-release capsule	Oral	02060200	Calcium-channel Blockers	6 month exclusion	Diltiazem	CCB
17545	527411000001102	81475020	Micardis 80mg tablets (Boehringer Ingelheim Ltd)	Telmisartan	80mg	Tablet	Oral	02050502	Angiotensin-ii Receptor Antagonists	Mono	Telmisartan	ARB
17557	4785111000001103	87065020	Felotens XL 5mg tablets (Thornton & Ross Ltd)	Felodipine	5mg	Modified-release tablet	Oral	02060200	Calcium-channel Blockers	Mono	Felodipine	CCB
17566	4785511000001107	87067020	Felotens XL 10mg tablets (Thornton & Ross Ltd)	Felodipine	10mg	Modified-release tablet	Oral	02060200	Calcium-channel Blockers	Mono	Felodipine	CCB
17586	550211000001104	80135020	Slozem 300mg capsules (Merck Serono Ltd)	Diltiazem hydrochloride	300mg	Modified-release capsule	Oral	02060200	Calcium-channel Blockers	6 month exclusion	Diltiazem	CCB
17599	7852611000001103	88811020	Verapress MR 240mg tablets (Sandoz Ltd)	Verapamil hydrochloride	240mg	Modified-release tablet	Oral	02060200	Calcium-channel Blockers	Mono	Verapamil	Verapamil
17624	8351811000001102	88718020	Captopril 5mg/5ml oral suspension	Captopril	1mg/1ml	Oral suspension	Oral	02050501	Angiotensin-converting Enzyme Inhibitors	ever exclusion	Captopril	ACE
17633	236435001000027104	87231020	Captopril 3mg/5ml oral solution	Captopril	3mg/5ml	Oral Liquid	Oral	02050501	Angiotensin-converting Enzyme Inhibitors	ever exclusion	Captopril	ACE
17640	8046211000001107	88252020	Amlostin 5mg tablets (Discovery Pharmaceuticals)	Amlodipine	5mg	Tablet	Oral	02060200	Calcium-channel Blockers	Mono	Amlodipine	CCB
17655	178305001000027104	72036020	Carace 10 Tablet (Bristol-Myers Squibb Pharmaceuticals Ltd)	Lisinopril/Hydrochlorothiazide	10mg + 12.5mg	Tablet	Oral	02020100/02050501	Thiazides And Related Diuretics/Angiotensin-converting Enzyme Inhibitors	Combo	Combo	Combo
17666	33211000001108	84422020	Viazem XL 180mg capsules (Thornton & Ross Ltd)	Diltiazem hydrochloride	180mg	Modified-release capsule	Oral	02060200	Calcium-channel Blockers	6 month exclusion	Diltiazem	CCB
17686	648711000001100	81476020	Micardis 20mg tablets (Boehringer Ingelheim Ltd)	Telmisartan	20mg	Tablet	Oral	02050502	Angiotensin-ii Receptor Antagonists	Mono	Telmisartan	ARB
17689	3806911000001105	49280020	MicardisPlus 80mg/12.5mg tablets (Boehringer Ingelheim Ltd)	Telmisartan/Hydrochlorothiazide	80mg + 12.5mg	Tablet	Oral	02050504	Angiotensin-ii Receptor Antagonists With Diuretic	Combo	Combo	Combo
18038	36031911000001104	83479020	Nisoldipine 20mg modified-release tablets	Nisoldipine	20mg	Modified-release tablet	Oral	02060200	Calcium-channel Blockers	Mono	Nisoldipine	CCB
18200	409184002	90629020	Olmesartan medoxomil 20mg / Hydrochlorothiazide 12.5mg tablets	Hydrochlorothiazide/Olmesartan medoxomil	12.5mg + 20mg	Tablet	Oral	02020100/02050502	Thiazides And Related Diuretics/Angiotensin-ii Receptor Antagonists	Combo	Combo	Combo
18202	3806311000001109	81233020	MicardisPlus 40mg/12.5mg tablets (Boehringer Ingelheim Ltd)	Telmisartan/Hydrochlorothiazide	40mg + 12.5mg	Tablet	Oral	02050504	Angiotensin-ii Receptor Antagonists With Diuretic	Combo	Combo	Combo
18219	318942009	81183020	Imidapril 20mg tablets	Imidapril hydrochloride	20mg	Tablet	Oral	02050501	Angiotensin-converting Enzyme Inhibitors	ever exclusion	Imidapril	ACE
18223	232125001000027104	85883020	Trandolapril with verapamil 2mg + 180mg Modified-release capsule	Verapamil Hydrochloride/Trandolapril	2mg + 180mg	Modified-release Capsule	Oral	02050501/02060200	Angiotensin-converting Enzyme Inhibitors/Calcium-channel Blockers	Combo	Combo	Combo
18263	263311000001101	59646020	Acezide 25mg/50mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)	Captopril/Hydrochlorothiazide	50mg + 25mg	Tablet	Oral	02050501	Angiotensin-converting Enzyme Inhibitors	Combo	Combo	Combo
18269	660111000001107	52608020	Acepril 12.5mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)	Captopril	12.5mg	Tablet	Oral	02050501	Angiotensin-converting Enzyme Inhibitors	ever exclusion	Captopril	ACE
18325	814111000001108	52610020	Acepril 50mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)	Captopril	50mg	Tablet	Oral	02050501	Angiotensin-converting Enzyme Inhibitors	ever exclusion	Captopril	ACE
18379	353011000001101	86144020	Dilcardia SR 90mg capsules (Mylan)	Diltiazem hydrochloride	90mg	Modified-release capsule	Oral	02060200	Calcium-channel Blockers	6 month exclusion	Diltiazem	CCB
18403	95745001000027104	60315020	Diltiazem HCl 180mg Modified-release capsule (Hillcross Pharmaceuticals Ltd)	Diltiazem Hydrochloride	180mg	Modified-release Capsule	Oral	02060200	Calcium-channel Blockers	6 month exclusion	Diltiazem	CCB
18404	4772111000001102	49568020	Diltiazem 60mg modified-release capsules (A A H Pharmaceuticals Ltd)	Diltiazem hydrochloride	60mg	Modified-release capsule	Oral	02060200	Calcium-channel Blockers	6 month exclusion	Diltiazem	CCB
18606	216735001000027104	81472020	Diltiazem and hydrochlorothiazide 150mg+12.5mg modified-release capsules	Diltiazem Hydrochloride/Hydrochlorothiazide	150mg + 12.5mg	Modified Release Capsules	Oral	02020100/02060200	Thiazides And Related Diuretics/Calcium-channel Blockers	6 month exclusion	Combo	Combo
18631	NA	!8504107	VERAPAMIL HCL MR					00000000	Unknown	Mono	Verapamil	Verapamil
18830	256611000001109	82004020	Disogram SR 90mg capsules (Ranbaxy (UK) Ltd)	Diltiazem hydrochloride	90mg	Modified-release capsule	Oral	02060200	Calcium-channel Blockers	6 month exclusion	Diltiazem	CCB
18834	469811000001106	82002020	Disogram SR 60mg capsules (Ranbaxy (UK) Ltd)	Diltiazem hydrochloride	60mg	Modified-release capsule	Oral	02060200	Calcium-channel Blockers	6 month exclusion	Diltiazem	CCB
18852	116711000001106	86924020	Disogram SR 120mg capsules (Ranbaxy (UK) Ltd)	Diltiazem hydrochloride	120mg	Modified-release capsule	Oral	02060200	Calcium-channel Blockers	6 month exclusion	Diltiazem	CCB
18874	713411000001103	68687020	Disogram SR 180mg capsules (Ranbaxy (UK) Ltd)	Diltiazem hydrochloride	180mg	Modified-release capsule	Oral	02060200	Calcium-channel Blockers	6 month exclusion	Diltiazem	CCB
18903	10270711000001104	90631020	Olmesartan medoxomil 20mg / Hydrochlorothiazide 25mg tablets	Hydrochlorothiazide/Olmesartan medoxomil	25mg + 20mg	Tablet	Oral	02020100/02050502	Thiazides And Related Diuretics/Angiotensin-ii Receptor Antagonists	Combo	Combo	Combo
18910	4624311000001103	78191020	Olmetec 20mg tablets (Daiichi Sankyo UK Ltd)	Olmesartan medoxomil	20mg	Tablet	Oral	02050502	Angiotensin-ii Receptor Antagonists	Mono	Olmesartan	ARB
18975	152715001000027104	68163020	Calcicard 60mg Tablet (3M Health Care Ltd)	Diltiazem hydrochloride	60mg	Modified-release tablet	Oral	02060200	Calcium-channel Blockers	6 month exclusion	Diltiazem	CCB
19015	171845001000027104	05949007	ADIZEM CONTINUS 120 MG TAB					00000000	Unknown	6 month exclusion	Diltiazem	CCB
19129	3877011000001100	83487020	Syscor MR 10 tablets (Forest Laboratories UK Ltd)	Nisoldipine	10mg	Modified-release tablet	Oral	02060200	Calcium-channel Blockers	Mono	Nisoldipine	CCB
19170	413111000001101	82932020	Tensipine MR 10 tablets (Thornton & Ross Ltd)	Nifedipine	10mg	Modified-release tablet	Oral	02060200	Calcium-channel Blockers	Mono	Nifedipine	CCB
19175	422111000001103	56208020	Verapamil 40mg tablets (IVAX Pharmaceuticals UK Ltd)	Verapamil hydrochloride	40mg	Tablet	Oral	02060200	Calcium-channel Blockers	Mono	Verapamil	Verapamil
19198	487411000001102	64822020	Lisinopril 20mg tablets (Teva UK Ltd)	Lisinopril	20mg	Tablet	Oral	02050501	Angiotensin-converting Enzyme Inhibitors	ever exclusion	Lisinopril	ACE
19204	528611000001100	64814020	Lisinopril 5mg tablets (Teva UK Ltd)	Lisinopril	5mg	Tablet	Oral	02050501	Angiotensin-converting Enzyme Inhibitors	ever exclusion	Lisinopril	ACE
19208	676011000001102	61344020	Enalapril 10mg tablets (Actavis UK Ltd)	Enalapril maleate	10mg	Tablet	Oral	02050501	Angiotensin-converting Enzyme Inhibitors	ever exclusion	Enalapril	ACE
19223	640511000001107	64818020	Lisinopril 10mg tablets (Teva UK Ltd)	Lisinopril	10mg	Tablet	Oral	02050501	Angiotensin-converting Enzyme Inhibitors	ever exclusion	Lisinopril	ACE
19325	6105001000027101	48764020	Cordilox 2.5mg/ml Injection (IVAX Pharmaceuticals UK Ltd)	Verapamil hydrochloride	2.5mg/1ml	Solution for injection	Intravenous	02030202/02060200	Supraventricular Arrhythmias/Calcium-channel Blockers	Mono	Verapamil	Verapamil
19426	108711000001107	79164020	Disogram SR 240mg capsules (Ranbaxy (UK) Ltd)	Diltiazem hydrochloride	240mg	Modified-release capsule	Oral	02060200	Calcium-channel Blockers	6 month exclusion	Diltiazem	CCB
19440	34711000001104	77223020	Disogram SR 300mg capsules (Ranbaxy (UK) Ltd)	Diltiazem hydrochloride	300mg	Modified-release capsule	Oral	02060200	Calcium-channel Blockers	6 month exclusion	Diltiazem	CCB
19457	3634111000001100	84468020	Ranvera MR 240mg tablets (Ranbaxy (UK) Ltd)	Verapamil hydrochloride	240mg	Modified-release tablet	Oral	02060200	Calcium-channel Blockers	Mono	Verapamil	Verapamil
19459	4579511000001103	51963020	Verapamil 240mg modified-release tablets (A A H Pharmaceuticals Ltd)	Verapamil hydrochloride	240mg	Modified-release tablet	Oral	02060200	Calcium-channel Blockers	Mono	Verapamil	Verapamil
19690	36149211000001104	85865020	Verapamil 180mg modified-release / Trandolapril 2mg capsules	Verapamil hydrochloride/Trandolapril	180mg + 2mg	Modified-release capsule	Oral	02050501/02060200	Angiotensin-converting Enzyme Inhibitors/Calcium-channel Blockers	Combo	Combo	Combo
20117	4624611000001108	57407020	Olmetec 40mg tablets (Daiichi Sankyo UK Ltd)	Olmesartan medoxomil	40mg	Tablet	Oral	02050502	Angiotensin-ii Receptor Antagonists	Mono	Olmesartan	ARB
20188	98655001000027104	60798020	Enalapril 2.5mg wafer	Enalapril Maleate	2.5mg	Wafer		02050501	Angiotensin-converting Enzyme Inhibitors	ever exclusion	Enalapril	ACE
20257	905711000001103	75490020	Cardilate MR 20mg tablets (IVAX Pharmaceuticals UK Ltd)	Nifedipine	20mg	Modified-release tablet	Oral	02060200	Calcium-channel Blockers	Mono	Nifedipine	CCB
20311	77775001000027104	57957020	Nifedipress mr 20mg Modified-release tablet (Generics (UK) Ltd)	Nifedipine	20mg	Modified-release Tablet	Oral	02060200	Calcium-channel Blockers	Mono	Nifedipine	CCB
20459	236005001000027104	87085020	Felendil xl 10mg Modified-release tablet (Ratiopharm UK Ltd)	Felodipine	10mg	Modified-release tablet	Oral	02060200	Calcium-channel Blockers	Mono	Felodipine	CCB
20579	3691211000001101	85903020	Tarka modified-release capsules (Abbott Laboratories Ltd)	Verapamil hydrochloride/Trandolapril	180mg + 2mg	Modified-release capsule	Oral	02050501/02060200	Angiotensin-converting Enzyme Inhibitors/Calcium-channel Blockers	Combo	Combo	Combo
20591	7856611000001102	86868020	Nifedipress MR 20 tablets (Teva UK Ltd)	Nifedipine	20mg	Modified-release tablet	Oral	02060200	Calcium-channel Blockers	Mono	Nifedipine	CCB
20642	228225001000027104	84957020	Bi-carzem sr 60mg Modified-release capsule (Tillomed Laboratories Ltd)	Diltiazem hydrochloride	60mg	Modified-release capsule	Oral	02060200	Calcium-channel Blockers	6 month exclusion	Diltiazem	CCB
20849	673711000001107	84462020	Tensopril 12.5mg tablets (Teva UK Ltd)	Captopril	12.5mg	Tablet	Oral	02050501	Angiotensin-converting Enzyme Inhibitors	ever exclusion	Captopril	ACE
20878	811311000001107	70715020	Angiopine 10 capsules (Ashbourne Pharmaceuticals Ltd)	Nifedipine	10mg	Capsule	Oral	02060200	Calcium-channel Blockers	Mono	Nifedipine	CCB
20890	345411000001107	86888020	Zemtard 240 XL capsules (Galen Ltd)	Diltiazem hydrochloride	240mg	Modified-release capsule	Oral	02060200	Calcium-channel Blockers	6 month exclusion	Diltiazem	CCB
20975	8622911000001107	90115020	Lisinopril 7.5mg/5ml oral suspension	Lisinopril	1.5mg/1ml	Oral suspension	Oral	02050501	Angiotensin-converting Enzyme Inhibitors	ever exclusion	Lisinopril	ACE
21053	3740211000001108	50588020	Vascace 500microgram tablets (Roche Products Ltd)	Cilazapril monohydrate	500microgram	Tablet	Oral	02050501	Angiotensin-converting Enzyme Inhibitors	ever exclusion	Cilazapril	ACE
21145	937011000001101	86146020	Dilcardia SR 60mg capsules (Mylan)	Diltiazem hydrochloride	60mg	Modified-release capsule	Oral	02060200	Calcium-channel Blockers	6 month exclusion	Diltiazem	CCB
21162	318176004	78451020	Felodipine 2.5mg modified-release / Ramipril 2.5mg tablets	Felodipine/Ramipril	2.5mg + 2.5mg	Modified-release tablet	Oral	02050501/02060200	Angiotensin-converting Enzyme Inhibitors/Calcium-channel Blockers	Combo	Combo	Combo
21216	4878111000001101	87081020	Hypolar Retard 10mg tablets (Sandoz Ltd)	Nifedipine	10mg	Modified-release tablet	Oral	02060200	Calcium-channel Blockers	Mono	Nifedipine	CCB
